"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","g.10","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.independence2_g.10_bias","g.exchangeable2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias"
100,5,"binary","continuous",NA,0,0,1,1,0.8,0,1,TRUE,0.011,0.011,NA,0.011,NA,0.015,0.011,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,1,0.8,0,1,TRUE,0.003,0.003,NA,0.003,NA,-0.002,0.003,-0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,1,0.8,0,1,TRUE,0,0,NA,0,NA,-0.004,0,-0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,1,0.8,0,1,TRUE,-0.003,-0.003,NA,-0.003,NA,0.002,-0.003,-0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,1,0.8,0,1,TRUE,0.006,0.006,-0.037,0.006,-0.043,0,0.006,0.005,0.001,-0.037,0.006,-0.037,0.004,-0.054,0.001,-0.838,0.006,-0.843,0.004,-0.059
200,5,"binary","continuous",NA,1,0,1,1,0.8,0,1,TRUE,0.003,0.003,0.068,0.003,0.066,0.011,0.003,-0.001,0.007,0.068,0.003,0.068,-0.001,0.064,0.007,-0.739,0.003,-0.734,-0.001,0.065
100,20,"binary","continuous",NA,1,0,1,1,0.8,0,1,TRUE,-0.006,-0.006,-0.036,-0.006,-0.03,-0.009,-0.006,-0.009,-0.007,-0.036,-0.006,-0.036,-0.009,-0.026,-0.007,-0.829,-0.006,-0.83,-0.009,-0.017
200,20,"binary","continuous",NA,1,0,1,1,0.8,0,1,TRUE,-0.002,-0.001,0.032,-0.001,0.033,-0.002,-0.002,0.002,0.001,0.032,-0.001,0.032,0.002,0.066,0.001,-0.769,-0.001,-0.767,0.002,0.064
100,5,"binary","continuous",NA,3,0,1,1,0.8,0,1,TRUE,0.012,0.012,0,0.012,-0.012,0.031,0.012,0.01,0.026,0.001,0.012,0,0.011,0.006,0.026,-0.825,0.012,-0.812,0.011,-0.005
200,5,"binary","continuous",NA,3,0,1,1,0.8,0,1,TRUE,0.023,0.021,-0.009,0.021,-0.03,0.025,0.023,0.021,0.015,-0.009,0.021,-0.009,0.02,-0.007,0.015,-0.824,0.021,-0.83,0.02,-0.027
100,20,"binary","continuous",NA,3,0,1,1,0.8,0,1,TRUE,0.014,0.013,0.009,0.013,-0.005,0.012,0.014,0.016,0.008,0.009,0.013,0.009,0.016,0.005,0.008,-0.799,0.013,-0.805,0.016,-0.01
200,20,"binary","continuous",NA,3,0,1,1,0.8,0,1,TRUE,-0.004,-0.004,-0.012,-0.004,-0.007,-0.003,-0.004,-0.002,-0.007,-0.012,-0.004,-0.012,-0.002,-0.022,-0.007,-0.804,-0.004,-0.807,-0.002,-0.02
100,5,"binary","continuous",NA,0,0,1,1,2,0,1,TRUE,0.003,0.003,NA,0.003,NA,-0.006,0.003,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,1,2,0,1,TRUE,-0.024,-0.024,NA,-0.024,NA,-0.024,-0.024,-0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,1,2,0,1,TRUE,0.003,0.003,NA,0.003,NA,0.008,0.003,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,1,2,0,1,TRUE,0.001,0.001,NA,0.001,NA,0.002,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,1,2,0,1,TRUE,-0.008,-0.008,0.003,-0.008,0.01,-0.013,-0.008,-0.009,-0.008,0.002,-0.008,0.003,-0.008,0.018,-0.008,-1.99,-0.008,-1.99,-0.008,0.026
200,5,"binary","continuous",NA,1,0,1,1,2,0,1,TRUE,0,-0.001,-0.058,-0.001,-0.058,0.013,0,0.004,0.005,-0.058,-0.001,-0.058,0.003,-0.047,0.005,-2.063,-0.001,-2.058,0.003,-0.05
100,20,"binary","continuous",NA,1,0,1,1,2,0,1,TRUE,-0.002,-0.002,0.012,-0.002,0.014,0,-0.002,-0.007,-0.003,0.012,-0.002,0.012,-0.007,0.032,-0.003,-1.986,-0.002,-1.986,-0.007,0.039
200,20,"binary","continuous",NA,1,0,1,1,2,0,1,TRUE,0.009,0.008,0.027,0.008,0.019,0.013,0.009,0.01,0.009,0.027,0.008,0.027,0.01,0.031,0.009,-1.982,0.008,-1.981,0.01,0.021
100,5,"binary","continuous",NA,3,0,1,1,2,0,1,TRUE,0.008,0.009,0.049,0.009,0.04,0,0.008,0.014,0.011,0.049,0.009,0.049,0.015,0.049,0.011,-1.962,0.009,-1.96,0.015,0.034
200,5,"binary","continuous",NA,3,0,1,1,2,0,1,TRUE,-0.007,-0.009,0.014,-0.009,0.023,-0.023,-0.007,-0.004,-0.023,0.014,-0.009,0.014,-0.006,0.016,-0.023,-1.963,-0.009,-1.977,-0.006,0.021
100,20,"binary","continuous",NA,3,0,1,1,2,0,1,TRUE,0.002,0.002,0.057,0.002,0.054,0.014,0.002,-0.004,0.012,0.057,0.002,0.057,-0.004,0.053,0.012,-1.956,0.002,-1.946,-0.004,0.057
200,20,"binary","continuous",NA,3,0,1,1,2,0,1,TRUE,0.001,0.001,-0.017,0.001,-0.018,0.005,0.001,0.004,0.003,-0.017,0.001,-0.017,0.004,-0.018,0.003,-2.019,0.001,-2.018,0.004,-0.022
